exp_id	project_name	config_name	category	date	duration	HWAT	RHOO	HOIL	USG	nom_usg	inclination	WC	H	DPDX_FRIC	TIN	PMID	nom_usw	INCL	USW	nom_temp	nom_press	RHOW	HGAS	RHOG	DPDX	USL	HLIQ	PIN	nom_uso	USO
7353	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:45.256911Z		4.835451276560419	810	7.2897470489522345	2.859443910567692	2.75	60	39.879358231907226	12.12519832551266	-74.16062812693372	18.13786699384451	7.934875844180584	0	60	0.008388443442465915	18.25	8	998	87.87480167448734	48.049950639948705	1196.1904825806578	0.02103454973795033	12.12519832551266	8.052972891926766	0	0.012646106295484414
7354	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:46.274873Z		6.158320940390986	810	9.288462201995753	2.140081662205753	2.25	60	39.86798340874116	15.446783142386742	142.5363783675905	18.158967858850957	7.95816909891367	0	60	0.008389705053040057	18.25	8	998	84.55321685761325	48.19729445208831	1650.0910549984935	0.02104371562269837	15.446783142386742	8.115424024999143	0	0.01265401056965831
7355	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:47.312207Z		2.746959943336629	810	2.753750547426295	8.57011501025396	8.5	60	49.93827520916563	5.500710490762921	345.63992449919465	20.27361233443022	8.000912028580903	0	60	0.010490185705475588	20.25	8	998	94.49928950923707	48.46766912799136	1157.1640237061658	0.02100630360487546	5.500710490762921	8.109472299098968	0	0.010516117899399869
7356	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:48.274073Z		3.1733170045476795	810	3.176757548660842	6.429698251058058	6.5	60	49.972909419532485	6.350074553208506	124.39243462022864	19.53496373385191	7.975319691985845	0	60	0.010494243695816969	19.5	8	998	93.6499254467915	48.305782243625664	996.3900647527644	0.020999865362482124	6.350074553208506	8.072089551836251	0	0.010505621666665155
7357	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:49.216264Z		4.1331590927117965	810	4.139558837487597	4.2904932628612915	4.25	60	49.96132018020083	8.272717930199397	-13.550075960234608	18.74069726407528	7.9551559749841685	0	60	0.010511288639915219	18.75	8	998	91.72728206980061	48.17823463535986	997.2009263930146	0.021038852860579008	8.272717930199397	8.05375234928727	0	0.010527564220663789
7358	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:50.591700Z		4.644904868773627	810	4.64667077799544	3.4998785814313096	3.5	60	49.99049725639157	9.2915756467691	-33.17339901269747	18.458950591385364	7.951995779007673	0	60	0.010508955060628534	18.5	8	998	90.7084243532309	48.15824449969094	1051.53979636668	0.021021905436807597	9.2915756467691	8.055624015808107	0	0.010512950376179062
7625	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:51.618341Z		5.109296711108399	810	5.109129248326861	2.8597323091663966	2.75	60	50.00081941574071	10.218425959435251	7.882536006489545	18.137010241448884	7.946221602112056	0	60	0.010496940303072667	18.25	8	998	89.78157404056475	48.12171936632002	1159.7236985544396	0.02099353655745917	10.218425959435251	8.068114754617213	0	0.0104965962543865
7626	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:52.621240Z		6.393483976074217	810	6.340861326016418	2.1389239293724236	2.25	60	50.20661702195699	12.734345302090633	30.298242769696117	18.730330200791364	7.961415535956621	0	60	0.010510300649706041	18.75	8	998	87.26565469790937	48.2178301142472	1366.2107268991458	0.020934094494177023	12.734345302090633	8.10861037066579	0	0.010423793844470982
7361	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:53.640685Z		3.9470105627461334	810	1.319268578240915	8.570338460539713	8.5	60	74.948753324275	5.266279140987032	222.22975592051375	20.219211619198322	8.003285106241702	0	60	0.0157561518795167	20.25	8	998	94.73372085901296	48.48268026804251	1037.8746585576728	0.021022566995004932	5.266279140987032	8.105524437665938	0	0.005266415115488234
7362	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:13:54.696922Z		4.366131021227203	810	1.457206207716834	6.429866246055516	6.5	60	74.97644133549394	5.823337228944034	50.25957941846377	19.922814298272133	7.9849159193933	0	60	0.015768552749474446	20	8	998	94.17666277105596	48.36648413971426	907.7085592517977	0.021031343270768964	5.823337228944034	8.076232720911504	0	0.005262790521294518
